area,station,stationNormalized,query,confidence,score,lat,lon,displayName,reason,resultCount
関西,南大阪変電所,南大阪,南大阪変電所 関西 変電所 日本,none,0,35.0026662,135.7616327,"日本武尊　春日大社　伏見稲荷大社　石清水八幡宮　北野天満宮, 綾小路, 塩屋町, 下京区, 京都市, 京都府, 600-8071, 日本","stationContained=false, displayHasKind=false, overlap=0.333, queryOverlap=0.3",4
関西,能勢変電所,能勢,能勢変電所 関西 変電所 日本,none,0,35.0076183,135.7602547,"本堂, 六角通, 鍛冶屋町, 中京区, 京都市, 京都府, 604-8212, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.222",1
関西,姫路変電所,姫路,姫路変電所 関西 変電所 日本,none,0.064,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0.5, queryOverlap=0.444",5
関西,宝塚開閉所,宝塚,宝塚開閉所 関西 開閉所 日本,none,0,,,,no_result,0
関西,北葛城変電所,北葛城,北葛城変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.3",5
関西,北摂変電所,北摂,北摂変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.333",5
関西,北大阪変電所,北大阪,北大阪変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.3",5
関西,北大阪変電所（西大阪変電所）,北大阪,北大阪変電所（西大阪変電所） 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.25",5
関西,枚方変電所,枚方,枚方変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.333",5
関西,枚方変電所（洛南変電所）,枚方,枚方変電所（洛南変電所） 関西 変電所 日本,none,0,,,,no_result,0
関西,淀川変電所,淀川,淀川変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.333",5
関西,嶺南変電所,嶺南,嶺南変電所 関西 変電所 日本,none,0,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=0, queryOverlap=0.333",4
九州,ひむかss,ひむか,ひむかss 九州 変電所 日本,none,0,,,,no_result,0
九州,伊都ss,伊都,伊都ss 九州 変電所 日本,none,0,,,,no_result,0
九州,一ツ瀬ss,一ツ瀬,一ツ瀬ss 九州 変電所 日本,none,0,,,,no_result,0
九州,海崎ss,海崎,海崎ss 九州 変電所 日本,none,0,,,,no_result,0
九州,苅田ss,苅田,苅田ss 九州 変電所 日本,none,0,,,,no_result,0
九州,久留米ss,久留米,久留米ss 九州 変電所 日本,none,0,,,,no_result,0
九州,宮崎ss,宮崎,宮崎ss 九州 変電所 日本,none,0,,,,no_result,0
九州,弓削ss,弓削,弓削ss 九州 変電所 日本,none,0,,,,no_result,0
九州,熊本,熊本,熊本 九州 変電所 日本,none,0,,,,no_result,0
九州,熊本ss,熊本,熊本ss 九州 変電所 日本,none,0,,,,no_result,0
九州,古賀ss,古賀,古賀ss 九州 変電所 日本,none,0,,,,no_result,0
九州,高野sws,高野,高野sws 九州 開閉所 日本,none,0,,,,no_result,0
九州,三池ss,三池,三池ss 九州 変電所 日本,none,0,,,,no_result,0
九州,山家ss,山家,山家ss 九州 変電所 日本,none,0,,,,no_result,0
九州,鹿児島ss,鹿児島,鹿児島ss 九州 変電所 日本,none,0,,,,no_result,0
九州,住吉ss,住吉,住吉ss 九州 変電所 日本,none,0,,,,no_result,0
九州,松島ss,松島,松島ss 九州 変電所 日本,none,0,,,,no_result,0
九州,上津役ss,上津役,上津役ss 九州 変電所 日本,none,0,,,,no_result,0
九州,上椎葉ps,上椎葉,上椎葉ps 九州 発電所 日本,none,0,,,,no_result,0
九州,上椎葉ss,上椎葉,上椎葉ss 九州 変電所 日本,none,0,,,,no_result,0
九州,新鹿児島ss,新鹿児島,新鹿児島ss 九州 変電所 日本,none,0,,,,no_result,0
九州,新日向ss,新日向,新日向ss 九州 変電所 日本,none,0,,,,no_result,0
九州,人吉ss,人吉,人吉ss 九州 変電所 日本,none,0,,,,no_result,0
九州,西九州ss,西九州,西九州ss 九州 変電所 日本,none,0,,,,no_result,0
九州,西佐世保ss,西佐世保,西佐世保ss 九州 変電所 日本,none,0,,,,no_result,0
九州,西大分ss,西大分,西大分ss 九州 変電所 日本,none,0,,,,no_result,0
九州,西谷ss,西谷,西谷ss 九州 変電所 日本,none,0,,,,no_result,0
九州,西福岡ss,西福岡,西福岡ss 九州 変電所 日本,none,0,,,,no_result,0
